MONTH,INFLOW_BILLIONS,OUTFLOW_BILLIONS,NET_FLOW_BILLIONS,UNKNOWN_FLOW_BILLIONS,TOTAL_BRIDGE_VOLUME_BILLIONS
2023-01-01T00:00:00.000Z,0,0,0,0.8798732368,0.8798732368
2023-02-01T00:00:00.000Z,0,0,0,2.018469534,2.018469534
2023-03-01T00:00:00.000Z,0,0,0,2.35820816,2.35820816
2023-04-01T00:00:00.000Z,0,0,0,1.897635273,1.897635273
2023-05-01T00:00:00.000Z,0,0,0,3.540191701,3.540191701
2023-06-01T00:00:00.000Z,0,0,0,2.066581386,2.066581386
2023-07-01T00:00:00.000Z,0,0,0,1.931160131,1.931160131
2023-08-01T00:00:00.000Z,0,0,0,2.479259442,2.479259442
2023-09-01T00:00:00.000Z,0,0,0,2.391031219,2.391031219
2023-10-01T00:00:00.000Z,0,0,0,2.265456176,2.265456176
2023-11-01T00:00:00.000Z,0,0,0,2.519123996,2.519123996
2023-12-01T00:00:00.000Z,0,0,0,2.881350928,2.881350928
2024-01-01T00:00:00.000Z,0,0,0,2.892081877,2.892081877
2024-02-01T00:00:00.000Z,0,0,0,3.662589475,3.662589475
2024-03-01T00:00:00.000Z,0,0,0,5.948208821,5.948208821
2024-04-01T00:00:00.000Z,0,0,0,4.341059928,4.341059928
2024-05-01T00:00:00.000Z,0,0,0,3.383656568,3.383656568
2024-06-01T00:00:00.000Z,0,0,0,3.039746177,3.039746177
2024-07-01T00:00:00.000Z,0,0,0,3.339640295,3.339640295
2024-08-01T00:00:00.000Z,0,0,0,2.936119147,2.936119147
2024-09-01T00:00:00.000Z,0,0,0,3.521044212,3.521044212
2024-10-01T00:00:00.000Z,0,0,0,4.003268156,4.003268156
2024-11-01T00:00:00.000Z,0,0,0,6.218294706,6.218294706
2024-12-01T00:00:00.000Z,0,0,0,6.86914175,6.86914175
2025-01-01T00:00:00.000Z,0,0,0,6.963476846,6.963476846
2025-02-01T00:00:00.000Z,0,0,0,8.440968104,8.440968104
2025-03-01T00:00:00.000Z,0,0,0,5.775693485,5.775693485
2025-04-01T00:00:00.000Z,0,0,0,6.215454494,6.215454494
2025-05-01T00:00:00.000Z,0,0,0,7.947432793,7.947432793
2025-06-01T00:00:00.000Z,0,0,0,9.233577743,9.233577743
2025-07-01T00:00:00.000Z,0,0,0,9.140997484,9.140997484
2025-08-01T00:00:00.000Z,0,0,0,10.391909692,10.391909692