MONTH,AVG_ETH_PRICE_USD,AVG_TX_FEE_ETH,AVG_GAS_PRICE_GWEI,MONTHLY_TRANSACTIONS,AVG_TX_FEE_USD,PRICE_TO_FEE_RATIO,TX_MILLIONS
2023-01-01T00:00:00.000Z,1459.267910662,0.002490895122,2.49321052e-8,31861348,3.63488332,401.462105454,31.861348
2023-02-01T00:00:00.000Z,1625.637931276,0.00331729784,3.394878007e-8,29793386,5.392725199,301.450170631,29.793386
2023-03-01T00:00:00.000Z,1674.978979261,0.003293433986,3.318032995e-8,33108483,5.516432697,303.634444808,33.108483
2023-04-01T00:00:00.000Z,1918.48600714,0.00416374581,4.006513322e-8,30166963,7.988088073,240.168359383,30.166963
2023-05-01T00:00:00.000Z,1842.791387767,0.007189907552,7.347421891e-8,33518461,13.249499715,139.083846737,33.518461
2023-06-01T00:00:00.000Z,1817.874275511,0.002710386473,2.713880144e-8,31628211,4.927141847,368.951073889,31.628211
2023-07-01T00:00:00.000Z,1895.717868026,0.003289371636,3.027058064e-8,31473996,6.235720585,304.009431155,31.473996
2023-08-01T00:00:00.000Z,1759.939013863,0.002789799124,2.635133226e-8,31954459,4.909876319,358.448746864,31.954459
2023-09-01T00:00:00.000Z,1621.55038619,0.001875087119,1.861636427e-8,30490749,3.040548243,533.308553869,30.490749
2023-10-01T00:00:00.000Z,1656.602359882,0.001712965793,1.632426456e-8,31344170,2.837703175,583.782819269,31.34417
2023-11-01T00:00:00.000Z,1982.960817583,0.003655133867,3.694835707e-8,32567889,7.247987242,273.587790835,32.567889
2023-12-01T00:00:00.000Z,2255.166919669,0.004090648136,4.326517952e-8,35192208,9.225094356,244.460038305,35.192208
2024-01-01T00:00:00.000Z,2372.780257361,0.002462615956,2.690141857e-8,36015492,5.843246523,406.072249054,36.015492
2024-02-01T00:00:00.000Z,2723.220662507,0.003902681693,3.974628644e-8,32284909,10.627863424,256.234066415,32.284909
2024-03-01T00:00:00.000Z,3625.727011048,0.004202146442,4.875195739e-8,39151755,15.23583586,237.973619856,39.151755
2024-04-01T00:00:00.000Z,3257.488809742,0.001868078239,2.068206026e-8,36001212,6.085243959,535.309484992,36.001212
2024-05-01T00:00:00.000Z,3290.671092474,0.001039366697,1.088016295e-8,35834938,3.420213945,962.124342226,35.834938
2024-06-01T00:00:00.000Z,3570.311347222,0.001114989543,1.15387469e-8,35046821,3.980859819,896.869397563,35.046821
2024-07-01T00:00:00.000Z,3274.529663978,0.0008076970157,8.257975473e-9,35491820,2.644827837,1238.088021341,35.49182
2024-08-01T00:00:00.000Z,2656.593252688,0.0007005318346,6.721908353e-9,33964656,1.861028145,1427.486875851,33.964656
2024-09-01T00:00:00.000Z,2463.400222222,0.001212267457,1.1955928e-8,33858483,2.986299924,824.900473872,33.858483
2024-10-01T00:00:00.000Z,2525.791263441,0.001567050276,1.654561803e-8,35799563,3.958041897,638.141618804,35.799563
2024-11-01T00:00:00.000Z,3096.171222222,0.001634451861,1.813314505e-8,36691025,5.060542817,611.82591163,36.691025
2024-12-01T00:00:00.000Z,3656.972231183,0.001459855931,1.726494023e-8,39605058,5.338652602,684.999100698,39.605058
2025-01-01T00:00:00.000Z,3330.729287634,0.001163761924,1.30102988e-8,37865777,3.876175922,859.282280845,37.865777
2025-02-01T00:00:00.000Z,2685.73516369,0.0004766402829,4.75826059e-9,35574420,1.280129568,2098.01822448,35.57442
2025-03-01T00:00:00.000Z,2022.573669355,0.0002841143817,2.700618135e-9,36924021,0.5746422674,3519.709189561,36.924021
2025-04-01T00:00:00.000Z,1688.845041667,0.0003262100933,2.919108382e-9,37148581,0.5509182985,3065.509071262,37.148581
2025-05-01T00:00:00.000Z,2360.903266129,0.0004103564859,4.065828505e-9,41982819,0.968811968,2436.905554663,41.982819
2025-06-01T00:00:00.000Z,2515.376777778,0.0003654916874,3.712429217e-9,41950650,0.919349303,2736.040337987,41.95065
2025-07-01T00:00:00.000Z,3203.877392473,0.0003253079129,3.347673649e-9,46669800,1.042246668,3074.010684829,46.6698
2025-08-01T00:00:00.000Z,4241.076048387,0.0001768184534,1.791508927e-9,51770523,0.7499005078,5655.518304194,51.770523